;cm_projectno;orderno;shop;partno;order_type;order_date;closing_date;state;internal_repair;serial_batch_no;detail_state;qty_order;backorder;description;condition;receiving_number;delivery_date;condition_POST;ultima_act;ARRIVAL_IN_SHOP;PAUSED;PAUSING_REASON_I;MUTATOR;year;month;day;year_month;tat;TAT_logistic;TAT_ack_to_close;order_date_mean;tat_mean;TAT_ack_to_close_mean;TAT_logistic_mean;indice;TAT_KPI_month
0;CM6774;R0276218;METROLOGY-A;TD5-01000K;R;2018-10-03;2018-11-06;C;Y;871540S;R;1,0;0,0;DINAMOMETRO;CA;84803;2018-11-06;R;2023-06-28T11:53:20.039Z;2017-10-17;N;-1;AU043414;2018;10;3;2018-10;34;0,0;34,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
1;CM26487;R2824919;METROLOGY-A;AU-MAN-4500;R;2019-06-24;2019-06-25;C;Y;9802A283;R;1,0;0,0;MANÓMETRO;CA;106906;2019-06-25;R;2023-06-28T11:53:20.039Z;2018-02-28;N;-1;AU047713;2019;6;24;2019-06;1;0,0;1,0;2019-06;102,78518518518518;23,95402298850575;98,06896551724138;9;-49,67511313810771
2;CM5216;R0116418;METROLOGY-A;129-110;R;2018-09-17;2018-10-11;C;Y;811582;R;1,0;0,0;MICROMETRO;CA;82522;2018-10-11;R;2023-06-28T11:53:20.039Z;2018-03-14;N;-1;AU047713;2018;9;17;2018-09;24;0,0;24,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
3;CM7403;R0358418;METROLOGY-A;329-711-10;R;2018-10-11;2018-10-11;C;Y;309248;R;1,0;0,0;MICROMETRO DE PROFUNDIDAD;CA;82546;2018-10-11;R;2023-06-28T11:53:20.039Z;2018-04-06;N;-1;AU047713;2018;10;11;2018-10;0;0,0;0,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
4;CM3187;R0000518;METROLOGY-A;289;R;2018-09-02;2020-03-13;C;Y;40440032;R;1,0;0,0;MULTIMETRO DIGITAL;CA;133630;2020-03-13;R;2023-06-28T11:53:20.039Z;2018-05-09;N;-1;AU031609;2018;9;2;2018-09;558;0,0;558,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
5;CM9571;R0638018;METROLOGY-A;OSLN50-1;R;2018-11-07;2018-11-07;C;Y;1421730;R;1,0;0,0;CARGA;CA;84957;2018-11-07;R;2023-06-28T11:53:20.039Z;2018-06-21;N;-1;AU031609;2018;11;7;2018-11;0;0,0;0,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
6;CM5451;R0147218;METROLOGY-A;10002MRMH;R;2018-09-20;2018-09-21;C;Y;0312502942;R;1,0;0,0;TORQUIMETRO;CA;80940;2018-09-21;R;2023-06-28T11:53:20.039Z;2018-07-26;N;-1;AU047713;2018;9;20;2018-09;1;0,0;1,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
7;CM5415;R0144918;METROLOGY-A;10002MRMH;R;2018-09-20;2018-09-20;C;Y;0312502917;R;1,0;0,0;TORQUIMETRO;CA;80754;2018-09-20;R;2023-06-28T11:53:20.039Z;2018-07-26;N;-1;AU047713;2018;9;20;2018-09;0;0,0;0,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
8;CM5467;R0155718;METROLOGY-A;TQR600E;R;2018-09-20;2018-10-25;C;Y;0207102054;R;1,0;0,0;TORQUIMETRO;CA;83573;2018-10-25;R;2023-06-28T11:53:20.039Z;2018-07-31;N;-1;AU031609;2018;9;20;2018-09;35;0,0;35,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
9;CM4134;R0028318;METROLOGY;91507-1-1;R;2018-09-06;2019-02-04;C;Y;G 1184-012;R;1,0;0,0;PINZA MANDRILADORA;CA;92848;2019-02-04;R;2023-06-28T11:53:20.039Z;2018-09-06;N;2;AR013812;2018;9;6;2018-09;151;0,0;151,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
10;CM4498;R0058618;METROLOGY;TD932;R;2018-09-10;2019-02-28;C;Y;0050118109;R;1,0;0,0;DENSITOMETRO;CA;95365;2019-02-28;R;2023-06-28T11:53:20.039Z;2018-09-11;N;-1;AR013158;2018;9;10;2018-09;171;1,0;170,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
11;CM4350;R0036118;METROLOGY-A;45-174;R;2018-09-07;2018-09-13;C;Y;01;R;1,0;0,0;PINZA PELA CABLES;CA;80106;2018-09-13;R;2023-06-28T11:53:20.039Z;2018-09-12;N;-1;AU031609;2018;9;7;2018-09;6;5,0;1,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
